Date,CCI Value,Spread,Value of Copper,NBER_Rec
2000-11-30,101.35563333333334,-0.634806477582452,1837.46378,0.0
2000-12-31,101.13103333333332,-0.6967277116543986,1916.3228999999997,0.0
2001-01-31,100.9062,-0.13039847908959334,1836.8765714285712,0.0
2001-02-28,100.74046666666668,0.090426348129931,1808.0456,0.0
2001-03-31,100.67916666666667,0.3579758119747911,1778.3775454545457,0.0
2001-04-30,100.6767,1.1774867137775282,1689.2998799999998,1.0
2001-05-31,100.72573333333332,1.6858269812265458,1711.055363636364,1.0
2001-06-30,100.7603,1.7100337337080087,1606.978380952381,1.0
2001-07-31,100.7159,1.6493923334787914,1545.1614285714286,1.0
2001-08-31,100.53963333333333,1.534151526969057,1491.1689043478261,1.0
2001-09-30,100.29276666666664,2.0353510426244465,1454.2510588235293,1.0
2001-10-31,100.1794,2.3679769541697677,1403.2772173913042,1.0
2001-11-30,100.22983666666666,2.7450230576031203,1461.4503599999998,1.0
2001-12-31,100.4032,3.3691765154530984,1501.5967999999998,0.0
2002-01-31,100.57443333333332,3.3600766530403887,1547.208,0.0
2002-02-28,100.69726666666668,3.1584959607716665,1596.914,0.0
2002-03-31,100.80886666666667,3.4568898217518105,1652.8897999999997,0.0
2002-04-30,100.84516666666669,3.4687233316008443,1616.3935636363638,0.0
2002-05-31,100.8399,3.398268070621052,1623.7970000000003,0.0
2002-06-30,100.73086666666669,3.19895018314814,1685.2996200000002,0.0
2002-07-31,100.576,2.939402328555265,1604.9318095238095,0.0
2002-08-31,100.44106666666669,2.610746306123576,1500.1526,0.0
2002-09-30,100.32142666666668,2.210523607407968,1509.4094,0.0
2002-10-31,100.22478,2.3316319121201285,1512.8543478260867,0.0
2002-11-30,100.22087666666664,2.7990271836852747,1603.3868,0.0
2002-12-31,100.20491666666665,2.819831969555087,1600.513314285714,0.0
2003-01-31,100.08487,2.86023125894834,1669.7923809523813,0.0
2003-02-28,99.88314,2.7102312589483395,1700.4440000000002,0.0
